figure,titre,description,dimensions,materials,id
fig_314,Des pampres de vignes,deux pampres de vignes qui ondulent dans le champ dans un mouvement authentique.  Ces pampres sont chargés de grappes et de feuilles souple et réel. La feuille d'acanthe  qui meuble la face de la console est peu claire. ,nan,nan,1
fig_326,Un pampre de vigne,"La face inférieure est ornée d'un pampre de vigne ondulant dans le champ en un simple mouvement sinusoïdal. De part et d'autre d'une tige principale, très mince, naissent des feuilles et des grappes qui se repartissent sur les cotés. Le motif est encadré, sur deux cotés, par des hauts godrons creusés en cuillère et sans lunules. Les faces latérales du corbeau portent le même ornement de dimension plus grand. La console de ce corbeau est ornée d'une feuille d'acanthe.","larg. visible 130 cm, larg. 30 cm, ép. 38 cm.",Calcaire blanc,2
fig_296,Un cornithien,"C'est un chapiteau corinthien à acanthe à folioles en feuille d'olivier. Ces feuilles sont constituées par une côte centrale encadrée par deux profonds sillons. D'autres sillons, plus courts, occupent le centre des lobes latéraux aux nombres de deux sur chaque côté. Les lobes se chevauchent l'une sur l'autre en donnant naissance à des yeux qui prennent une forme triangulaire.","lit de pause diam. : 40cm, h. : 58 cm, lit d'attente : 68 / 68 cm.",nan,3
fig_307,Un Corinthien,"Corinthien, une partie de la plinthe est endommagée et le tore supérieur est très endommagé.","plinthe : 54 / 54 cm, h. : 7 cm, h. totale : 23 cm, lit d'attente diam. : 44 cm",calcaire blanc,4
fig_317,une architrave incomplète,"une architrave incomplète à gauche et à droite, Les deux faces opposées (1 et 3) comportent le même décor, du haut vers le bas, il s'agit de la succession de fascea, talon, fascea, astragale, fascea, talon, bandeau. Le talon supérieur est orné de rais de sur végétalisés. C'est une feuille divisée en deux lobes par une nervure axiale de forme triangulaire, qui s'évase vers le bas de la feuille. Chaque feuille comporte huit foliolesen feuille d'olivier, quatre des deux côtés. Les folioles sont découpées au trépan et la surface des feuilles est recouverte par une série de ciselures parallèles. L'élément intercalaire est un dard. Il se compose d'une hampe parcourue d'une arête qui s'élargit vers le bas pour se termine par un sommet pointu. L'astragale est composé d9une file de perles et de pirouettes. Les perles sont composées par un ovale allongé pointu aux deux extrémités et à surface bombée. Elles sont attachées à des pirouettes losangiques. Le talon inférieur porte des rais de cSur de même type mais elles sont ici à six folioles seulement","L. conservée : 81 cm, larg. :32 cm, h. 35 cm. Le talon supérieur (h. 7 cm L'astragale (h. : 3 cm) Le talon inférieur (h. : 5 cm)",nan,5
fig_327,Un corbeau,La face inférieure de ce corbeau et ornée d'un rinceau dont la composition d'ensemble est basée sur un motif central. Ce dernier est composé de quatre petites tiges qui se terminent par des lobes à trois pétales épineux et dont les espaces vides entre les tiges sont meublées par des fleurons. Sous ce motif naissent deux larges tiges. Ces derniers affectent l'aspect d'une série de caulicoles qui se poursuive et se termine par une collerette. La tige se termine par une feuille d'acanthe qui diffère d'un côté à l'autre. Les faces latérales du corbeau sont ornées chacune l'un rinceau dont la tige et du même type que celui de la face inférieure. Ici cette tige s'enroule en spirale presque circulaire et complètement fermée sur elles-mêmes formant quatre médaillons aboutissant à des corolles dessinées par des rameaux d'acanthes. Au centre émerge une rosace à six pétales. Les espaces laissés vides sont meublés par des feuilles d'acanthes. Les deux rinceaux de la face inférieure et des faces latérales sont encadrés sur deux côtés par des godrons du même type que celle du corbeau précédent. La console proprement dite est ornée d'une feuille d'acanthe.,"h. visible : 140 cm, larg. 28 cm, ép. : 38 cm.",nan,6
fig_330,Corniche,"Cette corniche présente les ornements suivants : denticules, torsade, modillons, couronnement du modillon, cavet et cimaise. Les denticules sont du même type que celles des fragments déjà étudiés. Les modillons sont en S à une seule volute avec un important renflement postérieur et un balustre terminal. Les flancs des modillons, en raison de leurs faibles dimensions, sont lisses. Leurs faces antérieures sont meublées par une feuille d'acanthe variable d'un modillon à l'autre. Les balustres en faisceau sont ceinturés par une simple bandelette. Les caissons sont sur-creusés et bordés par un listel lisse. Ils sont ornés de motifs variés, orienté soit selon l'axe de la diagonale (feuilles de vignes) soit au centre des caissons (fleurons à cinq pétales). L'ensemble, modillon et entre-modillons, est relié par un couronnement qui prend la forme d'un méandre profilé en cavet et orné de godrons entre deux filets. Les godrons, sans lunule, prennent une forme incurvée et arrondie à leur sommet. La façade du larmier est ornée de rais de cSur végétalisés. C'est une feuille divisée en deux lobes par une nervure axiale de forme triangulaire, qui s'évase vers le bas de la feuille. Chaque feuille comporte six folioles en feuille d'olivier, l'élément intercalaire est un dard. La cimaise est totalement endommagée sur tous les fragments.","lit d'attente L. : 84, larg. : 80 cm, h. : 17 cm, lit de pause L. : 70 cm, larg. :42 cm.",nan,7
fig_323,Un chapiteau toscan,"un chapiteau toscan,  abaque en forme de double astragale, , l'allure générale de la corbeille est légèrement concave : il comporte une portion de fût lisse suivie d'un filet. L'échine profilée, plus ou moins, en quart de rond et suivie d'un abaque carré.","lit de pause 34 cm le premier 6 cm de h., le second 10 cm. diam du lit d9attente : 38 cm",nan,8
fig_335,Récipient,"Récipient (brûle-parfum) Buste de femme, ou mieux de déesse, à l'aspect hiératique : les yeux sont clos, les cheveux : divisés en deux bandeaux bouffants",nan,nan,9
fig_333,Une plate-forme de tuile,"Dans la Maison de la Culture, se trouve une plate-forme de tuile provenant de l'une des tombes dégagées lors des travaux publics servant à faire passer des égouts dans la rue située derrière la maison de la culture. Il s'agit d'une tombe construite en bâtière : deux tuiles sont jointes au sommet constituant un caisson à double pente. L'orientation est nord-sud. ",une plate-forme de tuile carrée 55 cm/55 cm couleur rouge,nan,10
fig_331,Un chapiteau,"Un chapiteau comporte de bas en haut : une portion de fût, un filet, un tore aplati entoure la parti basse de l'échine. Cette dernière est de profil concave. Il s'agit d'un arc aplati surmonté d'un filet et d'un abaque.","h.totale : 42 cm, abaque : 55 x 55 cm, h.: 10 cm, diam. lit de pause : 36 cm.", calcaire blanc,11
fig_328,Chapiteaux corinthiens,deux chapiteaux corinthiens,"1er: h. 41 cm, diam. de l'astragale : 30 cm, 2e: h. : 31 cm, abaque : 45/45 cm, deux ranger de feuilles d'acanthe à folioles",calcaire blanc,12
fig_311,Un corbeau,Un corbeau publié par Gauckler,nan,nan,13
fig_321,Un soffite,"Un soffite, Sur la partie inférieure de ces blocs subsiste un ornement constitué de caisson carré. Sur le fragment le mieux conservé subsistent encore deux caissons séparés par une file de perles et de pirouettes. Les caissons sont encadrés par une torsade suivie d'un talon. Ce dernier est orné de rais de cSur en ciseau ou « scherenkymation », composée de deux moitiés de feuilles simplifiées séparées par une nervure axiale qui s'évase vers le bas. Les caissons, mal conservés, sont ornés de rosaces. Sur les deux autres cotés la succession, du bas en haut, sur cette corniche est la suivante : perles et pirouettes du même type que celle de l'architrave, bandeau uni, perles et pirouettes, talon orné de rais de cSur, un deuxième bandeau unie, denticules, perles et pirouettes, un deuxième talon lui aussi est orné de rais de cSur et des feuilles.","L. 78 et 86 cm, larg. 68 cm, ép. 68 cm",nan,14
fig_303,Des tores,"profil : deux tores de hauteur inégale, celui d'en haut et en retrait par rapport à celui d'en bas. Ces deux tores encadrent, par l'intermédiaire de deux filets, une scotie parabolique. La plinthe carrée est marquée par sa hauteur qui dépasse la moitié de la hauteur totale de la base","Dé : 50 / 50 cm, h. 25 cm, h. totale : 45  (la hauteur totale de la base est de 45 cm, dont 25 cm réservée pour la plinthe)",nan,15
